iteration,mean_reward,success_rate,lift_rate,min_xy_after_lift,bowl_radius_after_lift_rate,tight_radius_after_lift_rate,object_to_bowl_xy_reward,lifting_reward,lift_progress_reward
2500,5.28,0.0,0.507,0.209,0.0,0.0,0.0739,0.2533,0.0967
2501,14.03,0.0,0.7772,0.2886,0.0,0.0,0.3286,1.2938,0.4489
2502,23.49,0.0,0.8418,0.2852,0.0,0.0,0.5452,2.5727,0.8761
2503,34.23,0.0,0.8513,0.2875,0.0,0.0,0.7205,3.7804,1.2779
2504,42.94,0.0,0.8522,0.2867,0.0,0.0,0.9008,4.9672,1.6734
2505,48.78,0.0,0.8766,0.2845,0.0,0.0,1.0945,6.229,2.0944
2506,62.46,0.0,0.8597,0.2839,0.0,0.0,1.2747,7.4456,2.5007
2507,70.5,0.0,0.8864,0.2887,0.0,0.0,1.4814,8.9265,2.995
2508,79.46,0.0,0.8815,0.2895,0.0,0.0,1.6581,10.1121,3.3894
2509,79.92,0.0,0.844,0.2816,0.0,0.0,1.733,10.5868,3.5466
2510,87.21,0.0,0.8993,0.2885,0.0,0.0,1.8299,11.2321,3.7633
2511,82.88,0.0,0.8831,0.2882,0.0,0.0,1.7916,11.017,3.6902
2512,80.52,0.0,0.8685,0.2885,0.0,0.0,1.7995,11.0486,3.7014
2513,85.04,0.0,0.8749,0.2831,0.0,0.0,1.805,10.9727,3.6761
2514,83.67,0.0,0.8468,0.2868,0.0,0.0,1.7461,10.6775,3.5773
2515,90.56,0.0,0.9059,0.2815,0.0,0.0,1.8983,11.5058,3.8548
2516,86.51,0.0,0.8823,0.2804,0.0,0.0,1.8437,11.1307,3.7283
2517,91.11,0.0,0.87,0.2804,0.0,0.0,1.8329,11.1057,3.7213
2518,80.12,0.0,0.8536,0.2796,0.0,0.0,1.7797,10.7462,3.6
2519,90.56,0.0,0.8815,0.2807,0.0,0.0,1.8567,11.2402,3.7662
2520,85.62,0.0,0.8756,0.2787,0.0,0.0,1.8246,11.0193,3.692
2521,80.71,0.0,0.8507,0.2767,0.0,0.0,1.7633,10.6133,3.5553
2522,83.95,0.0,0.8804,0.2815,0.0,0.0,1.853,11.2343,3.7639
2523,87.74,0.0,0.8673,0.2795,0.0,0.0,1.8086,10.9345,3.6631
2524,82.65,0.0,0.86,0.2779,0.0,0.0,1.813,10.9753,3.6765
2525,83.48,0.0,0.8533,0.2776,0.0,0.0,1.7793,10.7228,3.5911
2526,89.23,0.0,0.8597,0.2726,0.0,0.0,1.8124,10.8853,3.6458
2527,81.73,0.0,0.8721,0.2794,0.0,0.0,1.8342,11.0886,3.7145
2528,84.18,0.0,0.8433,0.2799,0.0,0.0,1.7673,10.644,3.5653
2529,83.58,0.0,0.8467,0.2766,0.0,0.0,1.7745,10.6586,3.5702
2530,81.13,0.0,0.8559,0.2803,0.0,0.0,1.773,10.7143,3.5891
2531,86.62,0.0,0.8488,0.2818,0.0,0.0,1.755,10.6683,3.5729
2532,85.48,0.0,0.8574,0.2732,0.0,0.0,1.8134,10.8898,3.6489
2533,86.9,0.0,0.883,0.2755,0.0,0.0,1.8627,11.2053,3.7545
2534,83.61,0.0,0.8656,0.2814,0.0,0.0,1.8157,10.9607,3.6722
2535,89.14,0.0,0.8812,0.2762,0.0,0.0,1.8757,11.2702,3.7746
2536,86.49,0.0,0.8592,0.2774,0.0,0.0,1.8036,10.8361,3.6296
2537,85.08,0.0,0.8829,0.2776,0.0,0.0,1.8612,11.1828,3.7466
2538,82.92,0.0,0.8051,0.2757,0.0,0.0,1.7003,10.1308,3.3949
2539,86.02,0.0,0.8781,0.2762,0.0,0.0,1.8283,10.9783,3.6773
2540,91.71,0.0,0.8631,0.2706,0.0,0.0,1.8158,10.8171,3.6236
2541,83.86,0.0,0.843,0.2724,0.0,0.0,1.7921,10.672,3.5752
2542,86.26,0.0023,0.8858,0.2712,0.0023,0.0023,1.8666,11.1061,3.7189
2543,88.55,0.0,0.88,0.2723,0.0,0.0,1.8512,11.036,3.6976
2544,86.0,0.0,0.8626,0.2726,0.0,0.0,1.8542,11.1037,3.7196
2545,81.41,0.0,0.8634,0.2731,0.0,0.0,1.8089,10.7881,3.6141
2546,87.78,0.0,0.8797,0.2692,0.0,0.0,1.8798,11.1286,3.7282
2547,86.16,0.0,0.8857,0.2692,0.0,0.0,1.8822,11.1151,3.7238
2548,88.6,0.0,0.8946,0.2691,0.0,0.0,1.9103,11.2527,3.7693
2549,87.14,0.0,0.8683,0.268,0.0,0.0,1.8871,11.0793,3.711
2550,81.93,0.0,0.8345,0.2704,0.0,0.0,1.7821,10.4754,3.5091
2551,85.28,0.0,0.8564,0.2704,0.0,0.0,1.8518,10.9017,3.652
2552,86.42,0.0,0.8607,0.2708,0.0,0.0,1.8607,10.9764,3.6771
2553,93.04,0.0,0.8956,0.2725,0.0,0.0,1.9278,11.3566,3.8047
2554,87.07,0.0,0.8684,0.2735,0.0,0.0,1.8516,10.9138,3.6556
2555,86.26,0.0,0.8552,0.2759,0.0,0.0,1.8339,10.9029,3.6525
2556,81.28,0.0,0.8437,0.2737,0.0,0.0,1.8097,10.7363,3.5972
2557,87.5,0.0,0.8734,0.2766,0.0,0.0,1.8599,11.0193,3.6918
2558,79.17,0.0,0.8462,0.2746,0.0,0.0,1.8045,10.6285,3.5602
2559,78.89,0.0,0.8761,0.2743,0.0,0.0,1.8872,11.1013,3.719
2560,84.58,0.0,0.8513,0.274,0.0,0.0,1.8265,10.7359,3.5967
2561,89.76,0.0,0.8638,0.2751,0.0,0.0,1.8664,11.0051,3.6871
2562,83.17,0.0,0.8409,0.276,0.0,0.0,1.8042,10.5877,3.5465
2563,76.62,0.0,0.839,0.2781,0.0,0.0,1.8058,10.6385,3.5632
2564,82.8,0.0,0.8661,0.2733,0.0,0.0,1.8784,10.9588,3.6712
2565,82.89,0.0,0.8415,0.2702,0.0,0.0,1.8361,10.6887,3.5801
2566,81.02,0.0,0.8579,0.2722,0.0,0.0,1.8678,10.8768,3.6436
